epoch,acc,f1,loss,val_acc,val_f1,val_loss
0,0.7067460317460318,0.6888550493249547,1.1070197944265374,0.7083333333333334,0.7159721627831459,1.1828674119897187
1,0.7181972789115646,0.708513353038537,1.0160492811546304,0.7708333333333334,0.7898808916409811,0.819842905116578
2,0.7301587301587301,0.7276481231797038,0.9553911212620552,0.6875,0.6833332752188047,1.4841071565945942
3,0.7276335185462756,0.7250046250041292,0.967056458371339,0.7916666666666666,0.7986110548178355,0.9571361591418585
4,0.7281179138321996,0.7258897119638871,0.9507246928589415,0.71875,0.7392856652537981,1.0815244739254315
5,0.7321428571428571,0.7280047956913237,0.9471860073726464,0.6979166666666666,0.7245039145151774,1.1781242998937766
6,0.7363945578231292,0.7352636146977916,0.9220835815616746,0.7604166666666666,0.784027727941672,0.9998770893240968
7,0.7379818594104308,0.7373454407364333,0.9175557696663874,0.71875,0.7245039145151774,1.34419783949852
8,0.7397392290249433,0.7374177937875259,0.9085140004889224,0.59375,0.6105463380614916,1.4556867132584255
9,0.7413832199546485,0.7426433243110877,0.899405008530806,0.65625,0.6541666065653166,1.4218144391973813
10,0.7386621315192744,0.7379738675291035,0.9003231146100427,0.75,0.7778769309322039,0.8768306479517681
11,0.7403061224489796,0.7388459468847499,0.9013994906427097,0.6354166666666666,0.6575319866339365,1.616695190469424
12,0.7359410430839002,0.7374234764821945,0.9089532693936712,0.6666666666666666,0.6778769331673781,1.3324459684663452
13,0.7384920634920635,0.7349039370037801,0.9021834600742171,0.7604166666666666,0.7672771215438843,0.919165232218802
14,0.7384920634920635,0.734960821967006,0.9050014784513147,0.6354166666666666,0.6274266764521599,1.4979780539870262
15,0.7410997732426304,0.738766643513087,0.9000020730657642,0.7604166666666666,0.7760912179946899,1.133727770143499
16,0.7426012019570931,0.7438894675653637,0.886216099816583,0.7708333333333334,0.7721229592959086,0.9446327385570233
0,0.7498298548094374,0.7543066944487514,0.8626740937224318,0.7049180327868853,0.7065468010355215,1.4899842162601282
1,0.7480149727767695,0.7539685325267743,0.8541865220087194,0.711577868852459,0.7145463599533332,1.4384135525734698
2,0.7474478221415608,0.753657536260013,0.8572204375872811,0.7223360655737705,0.7225965232145591,1.3804240558968215
3,0.747334392014519,0.7511696569932568,0.8670672652617557,0.7064549180327869,0.7078378904061239,1.3690349703929463
0,0.71841836794704,0.7142092583130817,1.0031913425646672,0.7233024695773184,0.7279416558183269,1.0167481398876803
1,0.7226266190913986,0.7211732289276868,0.9736660360020802,0.7216049366527133,0.7233997730561245,1.0300261245833502
2,0.7248639463567409,0.724365699047945,0.9606722525187901,0.7240740745155899,0.7298041309839414,1.045953591664632
3,0.7242346945263091,0.7270888257999809,0.9582105749318389,0.7183208499806055,0.7241887564069769,1.0390577050630518
4,0.7267424062468688,0.7270425093158167,0.9502830021624428,0.7248456794538616,0.7278604478011896,1.0158090915208982
5,0.7244047615803829,0.7258477347237723,0.9534880259410053,0.7310185211676138,0.7391611131620995,0.9958990083800422
6,0.7255272103815663,0.7280220365848671,0.9479839431996249,0.7269038710552506,0.7336805196439431,1.0080118771647097
7,0.7278308786803831,0.7302422450956809,0.9390993561970628,0.7320987641075511,0.7371613125742218,1.0013871921433344
8,0.7245748294454043,0.7275458770544351,0.9487809649130114,0.7239197507316684,0.7287294408421457,1.0173868709876213
9,0.7274149667649042,0.7307017411504473,0.9393451004612202,0.7203495602185063,0.7278407873137018,1.0287038622872808
10,0.7250076541325167,0.7270138817922798,0.9459535674767582,0.7299382738125177,0.734439969798665,0.987177238052274
11,0.7298299316646291,0.7303631185674343,0.9340375635899654,0.7211419770747055,0.7300283165625584,1.0243294555463909
12,0.7289115645447556,0.7318527662835154,0.9349728988141429,0.7242509343948554,0.7307619225517492,1.0140133496983146
13,0.7273036502949206,0.7308542678731571,0.9371155966195555,0.719598764254723,0.7271707977777646,1.0412550664242404
14,0.7264965990773674,0.7306534348701944,0.935416496205492,0.7290123450903245,0.7344598865803377,1.0080653193556233
15,0.7293197283128492,0.730949795327219,0.9319808200914033,0.7219101141454575,0.7260823331670964,1.0372821542430906
16,0.7265476204911057,0.7283898206795154,0.9401846302609865,0.7263888893304048,0.7271269081551351,1.0316976500146182
17,0.7271675914358722,0.7295709541814782,0.9380308839775169,0.733487653143612,0.7370140022701688,1.0028473006354437
18,0.7302969497050342,0.7314583480595334,0.9346825744879562,0.7270599280701445,0.7305716099066383,1.0034815419776908
19,0.7281972793494763,0.729885982818344,0.9389032970480368,0.7304012333905255,0.7361182732346617,1.0117687178246768
20,0.7262074828147889,0.7298145016845392,0.9416526550338382,0.7208333331861614,0.7291492032416073,1.0359276481616644
21,0.7271938776483341,0.7301861424024413,0.9392247077559127,0.7222222243057803,0.7237123090973805,1.0613799114501135
22,0.7292765058596575,0.7314915238458642,0.9352887172010295,0.7317901224265864,0.7361375785168306,0.9894498936188074
23,0.7281802713465528,0.7318363715191276,0.9347682562815088,0.7276234575259832,0.7350498386371282,1.0139558241691118
24,0.7315816324584338,0.7332416042178667,0.9284848248066545,0.7240948825888568,0.7303040390752823,1.0076387839696455
25,0.7265646252502389,0.728549660468588,0.9429556400597501,0.7280864200474303,0.7318717226570035,1.0208817013987788
26,0.7285792030600116,0.7319257780136578,0.9316752031184471,0.7254629606082116,0.7345277232888304,1.01477516727683
27,0.7259940806771343,0.727725151406368,0.9422261248340761,0.7198814000380918,0.7242841476507104,1.0357894284299547
28,0.7322619048916563,0.7355242624574778,0.9263751316232746,0.7250000017660635,0.7338669844615606,1.0091108455334181
29,0.7284013610307862,0.7301093037436609,0.9390541916801816,0.7283950632001147,0.7332303369486773,1.0046584319185328
30,0.7278741497571777,0.7299734089650265,0.940373010619157,0.7245630472340387,0.733553253309557,1.0232032615593756
31,0.7287585033040468,0.7304549990868082,0.9327993942766774,0.7297839507644559,0.7332562524595378,1.0170170701580283
32,0.7289533663304502,0.7300599292146215,0.9367580462882354,0.7256172836562733,0.7293707500269384,1.0259941934067527
33,0.7249489806136307,0.728161917089605,0.9435496421087356,0.7267478198445543,0.7353189819016855,1.0047600847086433
34,0.7296258492534663,0.732166156720142,0.9294038573900859,0.7242283938843527,0.7296663964236224,1.0126945155638236
35,0.72997380836127,0.7322127193130398,0.9306687933578999,0.7240740752514497,0.7287397340491966,1.0349607445575573
36,0.7238001298197249,0.728907864737857,0.9455031996101922,0.7312734074955725,0.7336658105421602,0.9993519553084499
37,0.7284523802549661,0.7310232420356906,0.9327809375159595,0.7270061712206146,0.728653555299029,1.0269172346150433
38,0.7304931973924442,0.7315924815580147,0.9306409959079457,0.7294753090834912,0.735601383962749,1.0103814447367634
39,0.7303649780559615,0.7321309251052806,0.9331877794029428,0.7273720357004325,0.7300224979123224,1.0121812406699457
40,0.7293367349371618,0.7296005497984335,0.9354825731037425,0.7205246907693369,0.7324575995221551,1.0119825498557384
41,0.7265816328476886,0.7296820600016587,0.9404866895708097,0.7233024688414585,0.731322866163136,1.0407547494511546
42,0.730221088484031,0.7319443129357838,0.929097626566076,0.7448501862241386,0.7486683765749509,0.9606810388493627
43,0.7282823128765132,0.7304603287962829,0.9371969237214043,0.7290123436186049,0.7344309224022759,0.9948089991086795
0,0.7473480212158303,0.746724352923507,0.8576723196957041,0.778610771113831,0.7765391342971141,0.6824675181053005
1,0.7587637278548977,0.76295342883851,0.798677161376984,0.7853427172582619,0.7818651931814056,0.6753571942936506
2,0.7631068951448389,0.7662632832592172,0.7884001935038432,0.7827417380660955,0.7825016420211465,0.664688762206689
3,0.7652658778729771,0.7686151145984895,0.7748826164308938,0.7790697674418605,0.7845062396079849,0.6713793135614042
4,0.7655718754249966,0.7693157179528607,0.7687895034857709,0.7882496940024479,0.7915206441389011,0.6433437476732575
